character,reading,meaning,level,level_label,radical,stroke_count
檟,가,가나무,0,특급,木,13
哿,가,가할,0,특급,口,7
葭,가,갈대 | 멀,0,특급,艸,9
珈,가,머리꾸미개,0,특급,玉,5
斝,가,옥잔,0,특급,斗,8
卻,각,물리칠,0,특급,卩,7
桷,각,서까래,0,특급,木,7
蕑,간,난초/연밥,0,특급,艸,12
瞯,간,엿볼,0,특급,目,12
玕,간,옥돌,0,특급,玉,3
榦,간,줄기,0,특급,木,10
衎,간,즐길/곧을,0,특급,行,3
秸,갈,볏짚,0,특급,禾,6
减,감,덜,0,특급,冫,9
歛,감,바랄,0,특급,欠,13
欿,감,서운할,0,특급,欠,8
酣,감,술즐길,0,특급,酉,5
矙,감,엿볼,0,특급,目,20
杠,강,깃대,0,특급,木,3
橿,강,참죽나무,0,특급,木,13
湝,개,물흐를,0,특급,水,9
喈,개,새소리/빠를,0,특급,口,9
玠,개,큰홀,0,특급,玉,4
嘅,개,탄식할,0,특급,口,11
槩,개,평미레,0,특급,木,11
鏗,갱,금석소리,0,특급,金,11
硜,갱,돌소리,0,특급,石,7
秔,갱,메벼,0,특급,禾,4
賡,갱,이을,0,특급,貝,8
臄,갹,순대,0,특급,肉,13
秬,거,검은기장,0,특급,禾,5
筥,거,광주리,0,특급,竹,7
莒,거,나라이름,0,특급,艸,7
椐,거,느티나무,0,특급,木,8
籧,거,대자리,0,특급,竹,17
袪,거,소매,0,특급,衣,5
虡,거,쇠북걸이틀,0,특급,虍,8
蘧,거,패랭이꽃,0,특급,艸,17
琚,거,패옥,0,특급,玉,8
褰,건,걷을,0,특급,衣,10
朅,걸,떠날,0,특급,曰,10
跲,겁,엎드러질,0,특급,足,6
愒,게,쉴,0,특급,心,9
綌,격,굵은갈포,0,특급,糸,7
鵙,격,왜가리,0,특급,鳥,7
鴃,격,왜가리,0,특급,鳥,4
繳,격,주살,0,특급,糸,13
狷,견,고집스러울,0,특급,犬,7
繾,견,곡진할,0,특급,糸,14
蠲,견,덜/정결할,0,특급,虫,17
豣,견,돼지/노루,0,특급,豕,6
獧,견,뛸,0,특급,犬,13
畎,견,밭고랑,0,특급,田,4
岍,견,산이름,0,특급,山,4
睊,견,흘겨볼,0,특급,目,7
闋,결,마칠,0,특급,門,9
觼,결,쇠고리,0,특급,角,15
袺,결,옷섶잡을,0,특급,衣,6
蒹,겸,갈대,0,특급,艸,10
歉,겸,흉년들,0,특급,欠,10
惸,경,근심할,0,특급,心,9
鶊,경,꾀꼬리,0,특급,鳥,8
睘,경,놀라서볼,0,특급,目,8
罄,경,다할,0,특급,缶,11
檠,경,등잔걸이,0,특급,木,13
冂,경,멀,0,특급,冂,0
熲,경,빛날,0,특급,火,11
冏,경,빛날,0,특급,冂,5
駉,경,살찌고큰,0,특급,馬,5
牼,경,소정강이뼈,0,특급,牛,7
焭,경,외로울,0,특급,火,8
煢,경,외로울,0,특급,火,9
黥,경,자자(刺字)할,0,특급,黑,8
褧,경,홑옷,0,특급,衣,10
雞,계,닭,0,특급,隹,10
笄,계,비녀,0,특급,竹,4
烓,계,화덕,0,특급,火,6
刳,고,가를,0,특급,刀,6
楛,고,거칠,0,특급,木,9
罟,고,그물,0,특급,网,5
翶,고,노닐,0,특급,羽,12
酤,고,단술,0,특급,酉,5
槀,고,마른나무,0,특급,木,10
熇,고,말릴,0,특급,火,10
杲,고,밝을,0,특급,木,4
栲,고,북나무,0,특급,木,6
瞽,고,소경,0,특급,目,13
觚,고,술잔,0,특급,角,5
羖,고,염소,0,특급,羊,4
稾,고,원고/볏짚,0,특급,禾,10
盬,고,짠못/마실,0,특급,皿,13
櫜,고,칼집,0,특급,木,15
罛,고,큰물고기그물,0,특급,网,5
鼛,고,큰북,0,특급,鼓,8
觳,곡,곱송그릴,0,특급,角,10
轂,곡,수레바퀴통,0,특급,車,10
牿,곡,외양간,0,특급,牛,7
緄,곤,띠,0,특급,糸,8
髡,곤,머리깎을,0,특급,髟,3
棞,곤,문지방,0,특급,木,8
錕,곤,붉은쇠,0,특급,金,8
鯀,곤,큰물고기,0,특급,魚,7
邛,공,수고할,0,특급,邑,3
悾,공,정성,0,특급,心,8
蜾,과,나나니벌,0,특급,虫,8
薖,과,너그러울,0,특급,艸,13
夸,과,사치할/자랑할,0,특급,大,3
裹,과,쌀,0,특급,衣,8
鞹,곽,가죽,0,특급,革,11
霍,곽,곽란,0,특급,雨,8
躩,곽,바삐갈,0,특급,足,20
祼,관,강신제,0,특급,示,8
盥,관,낯씻을,0,특급,皿,11
